,St,Total,Count
13,MO,585060,1993
8,KS,260160,846
15,NE,119820,297
1,AR,119370,470
18,OK,59190,240
6,IL,11730,32
5,IA,11460,43
14,MS,8760,39
20,SD,8160,21
21,TN,6120,24
9,KY,4800,17
12,MN,3780,10
10,LA,2160,10
0,AL,1500,7
23,WI,1260,9
17,OH,1200,7
7,IN,390,3
11,MI,360,3
22,TX,240,2
24,WV,240,3
3,FL,180,2
25,WY,180,1
19,PA,120,1
16,NM,60,1
4,GA,60,1
2,CT,60,1
